,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
685,商业分析,百丽新零售,10000人以上,上海 徐汇区 斜土路,硕士,5-10年,商业分析师,资深商业分析师岗位描述：与原高瓴资本大数据团队一起参与投后零售行业的数字化改造与新零售相关的数字化与智能化工作，包括但不限 1.参与业务对应层级人员沟通讨论，能很好地支持需求理解和结果展示2.针对实际业务需要， 围绕python开源学习库（如sklearn，tensorflow）或R开展机器学习工作：回归模型，分类模型，时间序列模型等；包括完成数据准备，模型建立，模型调参，模型验证等工作3.对数据产品化开发流程有一定了解。需要参与产品化需求沟通、产品设计、产品开发和产品维护4.通过Excel完成ad-hoc分析或报告工作 岗位要求:1. 热情，快速学习的能力，有较强的总结，报告能力2.具有良好的沟通协作能力，具有较强的分享学习意愿；3.数学、统计、计算机、电子，管科等相关专业优先，具有咨询背景，新零售经验优先；4.熟练掌握python， R，SQL（hive sql），EXCEL等主流数据分析建模工具；5.能接受一定的出差要求,30k-55k,未融资
686,商业分析,拍拍贷,1000-9999人,上海 浦东新区 唐镇,本科,1-3年,商业分析师,工作内容：1、以量化分析的方法驱动决策，通过分析多维度数据，建立客户和产品估值(PV 和 NPV)，为不同客户设计优化相应营销和产品策略，优化流程提升客户转化率，满足客户需求同时达到公司业务和盈利增长；2、承担业务线P&L owner职责，为业务成交量，收入和利润负责；与产品、运营、研发团队紧密合作，推进业务策略执行和金融产品落地；3、为各类金融创新产品项目，提供可行性及产品效果检验的数据支持，推动不同的金融创新产品的孵化落地；4、完成其他上级交代事项。工作要求：1、985大学，或国外一流大学本科或以上学历，理工科专业（数学、计算机，统计等）；2、熟练的数据提取能力，精通 SQL或Excel，熟练掌握 Powerpoint；3、具备良好沟通能力，学习能力，和团队协作精神，有强烈的学习和提高欲望，有创新和冒险精神，渴望在快节奏的创业公司提升自己，创造价值。,15k-25k,已上市
687,商业分析,滴滴出行,10000人以上,上海 静安区 大宁路,本科,3-5年,商业分析专家 (J180925037),商业分析专家 (J180925037)工作地点：上海职位类别：数据所属部门：车服产品技术部招聘人数：4发布时间：2018-09-27 11:31:44刷新时间：2018-09-27 11:31:44职位描述1、基于数据分析，辅助业务管理团队科学决策，协助团队商业目标的达成；2、构建业务分析体系，监控运行状况；针对重点问题深入分析，定位问题，提供解决问题的建议；3、对于具体的场景，运用数据分析，与大数据算法同学深度合作，解决业务的核心痛点和难点；4、沉淀分析思路与框架， 提炼数据产品需求，与相关团队协作并推动数据产品和决策系统的落地；任职要求1、聪明，学习能力强；2、本科及以上学历，3年以上数据分析经验，具有知名互联网背景、商科与理工科复合背景优先；3、对商业及其运行规律有较好的理解和思考；4、较强的结构化和逻辑思考能力以及沟通表达能力；5、精通SQL、Excel、PPT，掌握R/Python/SPSS/SAS任何一种尤佳；,30k-60k,D轮及以上
688,商业分析,我图网,500-999人,上海 浦东新区 南码头,本科,1-3年,商业分析师,"工作职责：1、观察和分析用户数据，了解数据背后的含义，找到关键指标；负责获取用户、激发活跃、提高留存、增加营收的全过程，并追踪效果和持续优化； 2、参与产品设计，快速推进开发，以验证假设，持续完善产品数据； 3、协作市场运营部门，完成定期的数据培训和交流，提升团队整体的数据意识； 4、结果导向，对数据增长的目标负责； 职位要求：1、对数据敏感，有极强的好奇心和探索欲，思维清晰，执行力佳；2、计算机、统计学、数学等相关专业优先，211/985高校本科或以上学历优先，3年以上移动互联网用户增长经验优先；3、熟悉移动互联网产品及技术，熟悉社交产品的内在逻辑;4、能快速理解业务，发掘数据和用户行为、产品模型之间的联系；5、加分项：有过现象级活动运营的经历（请提供活动数据）；有过教育行业经历，或者策划过面向家长的活动。 6、加分项：熟练使用百度统计、google分析、神策或其他类似分析统计工具, 熟练使用数据分析工具（MySQL），有成熟的互联网相关用户增长案例优先。",13k-23k,不需要融资
689,商业分析,博世猫网络科技,100-499人,上海 浦东新区 世纪公园,本科,3-5年,商业分析师,"商业分析师工作职责:1、 以量化分析的方法驱动决策，通过分析多维度数据，建立客户和产品估值(PV 和 NPV)，为不同客户设计优化相应营销和产品策略，满足客户需求同时达到公司业务和盈利增长；2、 为各类金融创新产品项目，提供可行性及产品效果检验的数据支持，推动不同的金融创新产品的孵化落地；3、 与产品、运营、研发团队紧密合作，推进业务策略执行和金融产品落地。任职资格：1、 985大学，或国外一流大学本科或以上学历，理工科专业（数学、计算机，统计等）；2、 1-3 年在金融领域，咨询行业进行数据分析工作的经历；3、 熟练使用 SQL, Excel, Powerpoint；4、 具备良好沟通能力，学习能力，和团队协作精神。有强烈的学习和提高欲望。有创新和冒险精神，渴望在快节奏的创业公司提升自己，创造价值。5、 有以下经历优先：l  统计分析和机器学习经历（SAS, R, Python Scikit-Learn）l  编程语言经验（Python, Python Pandas, VBA, C/C++, Java等）l  有国外一流银行，外资咨询机构工作经验l  消费，小微方向金融产品相关工作",31k-62k,B轮
690,商业分析,美菜网,10000人以上,上海 普陀区 武宁路,本科,3-5年,商业分析,岗位职责1、负责公司商城的营运销售管理工作，包括运营团队管理、营销活动管理，对渠道平台的运营及销售目标负责；2、负责制订公司整体商城营销战略，制订营销策略与营销计划；3、制定运营部的月、季、年度销售目标，根据目标提出针对性的销售策略，并可以带领团队落实执行；4、根据业绩、市场反馈等对运营、营销工作进行监督、控制和绩效评估，及时调整营销策略，保证营销目标的持续超预期达成；5、负责协调沟通与公司各部门的工作，为各类需求做好完善优化协调工作；6、管理和考核本项目团队；制定运营部的销售计划、目标，对费用预算进行控制；制定并落实电商运营团队的培训计划；对团队进行有效的激励，提高团队战斗力。 岗位要求：1、大专以上学历， 5年以上食品类电商全渠道团队管理经验；2、熟悉互联网、电子商务领域，精通天猫、淘宝、京东、唯品会等电商平台，具备行业从业背景；3、具备娴熟的电商渠道规划与运营策划技能，能根据公司经营战略和业务需求，规划电子商务渠道及运营策划，合理岗位及流程；4、有较好的大局观以及生意经营逻辑，具备良好的团队领导能力及组织协调能力、擅于激励与引导团队成员，丰富的电商专业知识和战略前瞻性；5、有优秀的内驱力，善于整合资源、创新经营的思想，对目标执着并挑战。,15k-25k,D轮及以上
691,商业分析,中讯盈科,100-499人,上海 徐汇区 淮海路,本科,5-10年,商业分析师 SH,"不同级别的都找。专员 经理 总监级别团队基本来自于麦肯锡 滴滴 优步美团等 互联网。1.主导部门业务经营分析，制定经营分析报告，提供决策支持，为整体效率和经营健康负责； 2.完成业务年度财务预算、滚动财务预测；落实预算实现，跟踪监控目标、资源、策略等执行情况，分析结果，协助业务达成目标； 3.深入理解业务，建立与应用多维数据经营分析管理体系/模型，定期对业务进行专项深度分析，提交各项分析监测报告，生产和输出高质量的洞见； 4.密切关注行业发展变化，分析调研业内先进的业务管理模式、经验，提出可行性优化方案，并跟进实施；5.其他重点项目的管理和推进工作； 1、	教育经历：统招本科，财务管理、统计学、数学、经济、金融等专业优先； 2、	工作经历：3-5年以上工作经验，有咨询背景优先；能力足够优秀者不受年限影响； 3、	具有较强数据挖掘与数据分析能力（精通各种定性和定量的分析方法），有独立撰写专业报告的能力； 4、	为人正直，具有较强的执行力，以及沟通、协调能力和团队精神；5、	愿意接受互联网节奏下快速成长的挑战，拥抱变化；6、	良好的沟通/表达能力, 较强的逻辑分析/总结能力, 具备跨团队的协作能力。",14k-28k,A轮
692,商业分析,百丽新零售,10000人以上,上海 徐汇区 田林,本科,1-3年,商业分析师,【商业分析师】-Base上海与高瓴资本原班大数据团队一起岗位描述：参与零售行业的数字化改造与新零售相关的数字化与智能化工作，包括但不限1.参与业务对应层级人员沟通讨论，能很好地支持需求理解和结果展示2.针对实际业务需要， 围绕python开源学习库（如sklearn，tensorflow）或R开展机器学习工作：回归模型，分类模型，时间序列模型等；包括完成数据准备，模型建立，模型调参，模型验证等工作3.对数据产品化开发流程有一定了解。需要参与产品化需求沟通、产品设计、产品开发和产品维护4.通过Excel完成ad-hoc分析或报告工作岗位要求:1. 热情，快速学习的能力，有较强的总结，报告能力2.具有良好的沟通协作能力，具有较强的分享学习意愿；3.数学、统计、计算机、电子，管科等相关专业优先，具有咨询背景，新零售经验优先；4.熟练掌握python， R，SQL（hive sql），EXCEL等主流数据分析建模工具；,10k-20k,未融资
693,商业分析,饿了么,1000-9999人,上海 普陀区 金沙江路,本科,经验不限,商业数据分析专家,1. 负责城市维度运营的数据分析和项目决策，含用户留存分析，商户运营及品类分析，物流分析，经营规划等。2. 对接城市运营负责人，通过数据分析来提升城市运营效率，扩大市场份额；3. 搭建城市分析框架，并进行核心指标监控，撰写数据分析报告；4. 培训城市运营人员，提高他们的数据分析能力。                                                                                    任职要求：1. 计算机相关、数学/统计学、信息技术，社会科学等与数理统计、应用统计、计算编程相关的专业本科及以上学历，有互联网相关、咨询相关行业数据分析3年以上工作经历； 2. 掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS/Tableau、PPT等工具； 3. 优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，搭建整个数据分析体系；4. 通过专题/项目分析，对业务进行深入分析，提供有效的策略建议，并能推动策略方案落地；5. 优秀的沟通能力和项目管理能力，强大的自驱力和抗压力，具备分享精神，能带动小伙伴们一起提高；,15k-30k,D轮及以上
694,商业分析,百丽新零售,10000人以上,上海 徐汇区 田林,学历不限,3-5年,高级商业分析师,【商业分析经理】-Base上海职位信息岗位描述：与原高瓴资本大数据团队参与零售行业的数字化改造与新零售相关的数字化与智能化工作，包括但不限1.参与业务对应层级人员沟通讨论，能很好地支持需求理解和结果展示2.针对实际业务需要， 围绕python开源学习库（如sklearn，tensorflow）或R开展机器学习工作：回归模型，分类模型，时间序列模型等；包括完成数据准备，模型建立，模型调参，模型验证等工作3.对数据产品化开发流程有一定了解。需要参与产品化需求沟通、产品设计、产品开发和产品维护4.通过Excel完成ad-hoc分析或报告工作岗位要求:1. 热情，快速学习的能力，有较强的总结，报告能力2.具有良好的沟通协作能力，具有较强的分享学习意愿；3.数学、统计、计算机、电子，管科等相关专业优先，具有咨询背景，新零售经验优先；4.熟练掌握python， R，SQL（hive sql），EXCEL等主流数据分析建模工具；,25k-40k,未融资
