,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
1,数据分析,上海恒奕集团,500-999人,上海 普陀区 武宁路,大专,1-3年,数据分析,岗位职责：通过抓取第三方数据来分析在不同地区，我们医院项目的目标人群画像分析，实时网络热度盘点，各平台流量数据分析上班时间：做六休一吗，早九晚五福利待遇：包吃住，五险一金,8k-12k,A轮
2,数据分析,晶赞科技,100-499人,上海 静安区 共和新路,本科,3-5年,数据分析,工作职责：1、负责政务数据/商业数据的研究和分析。例如，通过政务公开数据的挖掘和分析，形成主题研究报告； 2、设计并规划相关数据分析项目的可行性数据框架，同时确保该设计方案的最终实施；3、通过DMP数据管理平台，进行用户数据、行为数据、商品数据、消费数据等各类数据的分析，进一步挖掘用户属性、用户喜好、潜在需求、忠诚度、商业选址等相关数据，并形成相应的数据分析报告； 4、构建用户行为建模、业务数据分析模型、用户评估体系等，支持个性化项目； 5、了解客户相关需求，与多部门（业务部门和研发部等）密切沟通，负责相关数据的提取、查询、处理、分析等工作；6、其他数据分析相关工作；任职资格：1、本科及以上学历，硕士及计算机、经济、统计、数学、软件工程、信息管理等相关专业为佳； 2、有3年以上工作经验；3、有较强的数据敏感度和逻辑分析能力。能梳理特定行业业务数据指标，构建业务数据分析体系。4、熟练掌握Excel的数据处理功能，并能独立设计撰写分析报告；5、会运用常规的统计学方法与分析算法（如分类、聚类、回归、关联规则、社会网络模型、抽样工具、定类分析、决策支持等）； 6、有责任心、良好的沟通能力及心理承受能力， 较高的团队合作能力和解决问题能力，可以快速处理临时的任务需求；7、满足以下任一条件者，可优先考虑：有数据分析或咨询行业相关经验、熟悉大数据相关技术、掌握某种统计编程语言R、Python等、或可熟练使用SPSS、SAS、MATLAB等相关数据分析软件8、有新闻热点报告撰写者优先考虑,12k-24k,D轮及以上
3,数据分析,东方购物,1000-9999人,上海 杨浦区 复旦大学,本科,1-3年,数据分析,工作职责：1、负责公司所有业务线数据分析；2、负责网站流量、用户行为特征分析；3、通过数据挖掘建立模型和效果评估，后续监控和持续改进工作；4、建立和完善分析体系，将文档的过程和方法结果应用于各业务线产品，对产品和业务提供建设性建议，跟踪模型的实施，定期优化算法和业务策略。5、及时升级重大问题，并总结规律，避免以后再次发生；任职资格： 1、数学、统计、计算机及相关专业本科以上学历；2、2年以上数据分析或数据挖掘方面经验优先；3、具备复杂问题的分析及解决能力；4、熟悉一种或者几种数据分析方面的工具，比如Matlab、R、SPSS、SAS等，R优先；5、熟悉一种或者几种主流数据库，如Mysql、Oracle、SQL Serve，爬虫python 等；6、熟悉GA等流量统计统计；7、有互联网公司，旅游行业工作经验者优先；8、有数据挖掘项目实施经验者优先；,7k-10k,已上市
4,数据分析,网达软件,1000-9999人,上海 杨浦区 长阳路,大专,1-3年,数据分析,岗位职责：1、处理并监控业务发展相关数据，为运营、发展决策提供优化建议；2、构建并优化数据指标体系和各项报表，对活动上线、内容更新、数据异常进行分析；3、分析、研究项目产品的目标用户行为习惯，总结用户需求，为运营计划制定提供建议；4、对接通信运营商（中国移动），跟进项目业务运营的开展工作。任职要求：1、全日制大专以上学历，数学/统计学相关专业优先，2年以上相关经验；2、掌握基本的数据分析方法，能够根据用户行为及其他相关数据总结用户群特征和偏好特征；3、具有良好的逻辑思维能力，能够根据数据变化分析问题、寻找原因；4、了解数据库基础知识，能够编写基础SQL语句进行数据提取；5、掌握SPSS或具有其他数据分析软件经验者优先。办公地址：杨浦区齐齐哈尔路526号,6k-8k,已上市
5,数据分析,PACTERA,10000人以上,上海 浦东新区 唐镇,大专,3-5年,Python数据分析,熟练使用python语言，能够熟练编写python脚本对机器学习相关技术与算法有一定了解有过机器学习实践经验优先3年或以上工作经验,10k-14k,已上市
6,数据分析,文思海辉技术,10000人以上,上海 浦东新区 唐镇,大专,经验不限,Python数据分析,① 熟练使用python语言，能够熟练编写python脚本，② 对机器学习相关的技术和算法有一定了解；③ 有过机器学习实践项目优先。,10k-15k,已上市
8,数据分析,威马,1000-9999人,上海 青浦区 ,本科,3-5年,数据分析经理,1、带领数据团队完成数据产品的原型设计、推动开发、迭代优化；2、构建公司统一的数据产品管理体系和数据分析体系；3、推动数据基础设施建设、标准制定、实施和业务数据分析结果落地；4、及时响应相关数据统计、数据报表、数据分析需求，提供整体的规划建议和深度洞察建议。任职要求：1、计算机、数学、统计学相关专业，全日制本科及以上学历，5年以上工作经验；2、有丰富的数据分析类、策略类数据产品的设计和落地经验，有车联网相关经验优先；3、有丰富的数据分析项目落地经验，了解常见的数据挖掘算法，有较好的商业洞察力；4、精通Python、R等1、2种，有图像、语音、自然语言相关处理经验者优先。5、熟悉常规的机器学习算法；6、熟悉Hadoop、Hive、Hbase、Storm、Spark等技术框架。7、有良好的沟通能力和团队管理能力，善于调动团队的积极性。,30k-60k,B轮
9,数据分析,趣头条,1000-9999人,上海 浦东新区 张江,本科,5-10年,高级数据分析,工作职责：1.	针对产品运营链条的各类关键数据，建立完整的数据分析体系，通过数据分析驱动业务优化迭代；2.	深入理解业务、产品、用户和场景，通过数据分析洞察业务关联，全面梳理产品运营体系；3.	独立完成各项数据报表自动化或数据取数的需求；4.	根据各类数据结果，并根据业务需求，提出运营或产品建议；5.	独立完成其他运营数据分析、数据建模等各类数据产品。岗位要求：1.	对数据敏感并有很强的洞察能力，快速从繁杂数据中发现问题；2.	极强的业务学习能力，能够把数据和业务紧密联系；3.	优秀的协调和沟通能力，能够推动数据和运营方案实施；4.	3年以上数据分析或数据运营经验，掌握Hive或SQL，精通Excel，了解tableau；5.	参与过用户运营项目的经验优先。,20k-35k,已上市
10,数据分析,辰德网络科技,100-499人,上海  ,本科,1-3年,数据分析,岗位职责：1、收集各项财务数据、业务数据，建立行业经营状况数据库；2、搜集、整理、分析行业各项信息与数据，建立相应明细报表及综合分析统计报表，据此提交行业研究、评估和预测；3、建立完善的商品数据库，为后期数据统计工作提供支持；4、每日、每周、每月提供销售与库存数据分析；5、其他上级临时交付的工作任务。任职要求：1. 本科以上学历，理工科专业；2. 两年以上电子商务运营或价格策略运营相关工作经验；3. 具有较好的数据分析能力，熟练运用数据库工具（MS SQL）；4. 具备强烈的责任心、主动性，具备优秀的执行力、沟通协调、分析理解、逻辑思维能力；5. 具备一定的领导力，能够组织、领导团队，目标导向，志在必胜。,6k-8k,未融资
11,数据分析,昆山华信,500-999人,上海 黄浦区 外滩,本科,1-3年,数据分析,工作职责：1、负责风险数据集市的日常运行和维护，保证数据供应的稳定、持续和准确；2、负责风险数据集市中各类数据的清洗、加工和整理，保障部门内各团队的数据使用需求；3、上级交办的其他工作任务。岗位要求：1、工作认真负责，逻辑清晰，有较好的表达能力、沟通能力、应变能力、团队合作能力及良好的心理素质； 2、excel和sql技能是必须，R或Python有1年及以上工作经验；3、全日制本科及以上学历，专业偏向计算机、数学、统计；4、从事金融行业或参与过金融行业相关项目，懂金融数据；5、身体健康，无重大疾病，无不良行为记录。,8k-12k,不需要融资
