,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
356,数据挖掘,中软国际,10000人以上,上海 徐汇区 龙华,本科,3-5年,数据挖掘,"工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",15k-25k,已上市
357,数据挖掘,蚂蚁金服,10000人以上,上海 浦东新区 陆家嘴,硕士,3-5年,数据挖掘,1. 工作内容  你将加入的是一个广阔的施展平台，你将看到的是千变万化的风险形态，你设计的模型与算法每天要保护成百上亿的隐形资损  a.利用大规模机器学习算法，建立一套完善的风险预测模型体系，实时与准实时的在上亿级的消费者行为数据中准确定位微弱的风险信号  b.通过前沿的人工智能算法，打造人工智能驱动的风控引擎，在平衡用户的安全和体验中灵活应对动态多变的欺诈、盗用、作弊等金融风险2. 职位要求  a.计算机、数学、统计、金融等硕士及以上学历（博士优先）  b.三年及以上数据挖掘或机器学习方面相关工作经验（非硬性）  c.熟练掌握机器学习算法（或对最优化理论和方法有较好的实践），熟练运用Python/SQL等工具  d.突出的问题分析能力和问题解决能力，自我驱动，具备较强的学习、创新能力，以及良好的沟通协调能力  e.拥有分布式图计算、实时流计算或深度学习经验者优先观察,20k-40k,C轮
358,数据挖掘,橙鹰,100-499人,上海 闵行区 华漕,本科,3-5年,数据挖掘,高级数据挖掘工程师(P6，薪资面议)：职位描述：根据公安行业、客户的实际情况，深入挖掘业务需求，通过智能模型建设高效解决用户问题，不断产生客户价值。1.通过算法模型，对公安各种业务风险进行预测、预警、分类、聚类；2.与公安部门沟通合作，将数据与算法结合，应用到业务中去；3.负责业务数据价值分析，发现业务风险职位要求： 1. 统计学、计算机科学、数学等相关专业，硕士以上优先；2. 具有丰富的数据建模实践经验，3年以上机器学习、文本挖掘、图像识别相关经验，至少精通其中1个领域；3. 熟练掌握Hive/SQL，拥有海量数据处理经验； 4. 熟练使用Python/R语言等其中一种语言优先； 5. 具有良好的商业敏感度和优秀的数据分析技能，能够开发创新而实际的分析方法以解决复杂的商业问题。6. 为人正直，梦想驱动；乐于面对挑战，皮实，自我调整能力强；善于思考，具备钻研精神。,20k-40k,不需要融资
359,数据挖掘,GBI,100-499人,上海  ,本科,经验不限,数据挖掘,数据工程师1) 有数据分析和挖掘经验2) 熟练使用Python3) 熟悉基本统计理论，有机器学习经验者加分4) 热爱数据分析，具备在一定指导下进行独立算法和技术探索能力5）本科及以上学历,4k-5k,未融资
360,数据挖掘,拓链,100-499人,上海 长宁区 中山公园,本科,3-5年,数据挖掘,"1.  针对目标业务需求，通过市场数据调研,  对相关数据进行抽取、清洗、校验、分析处理，将需求转化为可执行的业务方案、产品。2.  使用机器学习方法，针对海量数据进行数据挖掘、建模，设计实验方案，沟通验证实验效果，优化机器学习模型。3. 指导团队爬取各种相关数据，维持爬虫稳定性和可维护性，提高爬虫作业的效率问题。 【任职要求】1. 计算机相关专业本科及以上学历，熟悉linux基本操作2. 精通爬虫技术，可以应付各种复杂的数据抓取环境3. 熟悉Python, Java，Shell, Scala 等常用编程语言中至少一种，有良好的代码习惯4. 熟悉Hadoop、Spark、Hive 等大数据处理技术",18k-29k,A轮
361,数据挖掘,微盟,1000-9999人,上海 宝山区 淞南,本科,经验不限,数据挖掘师,岗位职责：1. 根据业务需求，调研市场，开拓渠道，合理进行数据采集2. 负责设计和开发分布式的网络爬虫，解决相关数据需求3. 对接开发人员与第三方接口，顺畅完成数据清洗（非人工）、数据转换与入库4. 对采集数据结果负责，定期评估网站质量并维护 任职要求：1.大专学历以上，数学、计算机等专业优先2.具有一年以上相关工作经验,8k-10k,D轮及以上
362,数据挖掘,逸橙信息科技,100-499人,上海 黄浦区 新天地,本科,3-5年,数据挖掘,"工作内容：1、了解目标业务需求，通过数据调研、集成、抓取,  对相关数据进行抽取、清洗、校验、分析处理，将需求转化为可执行的业务方案、产品。2、调研各种数据源，并主动发掘数据的商业价值，并配合产品一起推动相关数据产品的落地、实施和完善3、使用机器学习方法，针对海量复杂数据进行数据建模，以完成对复杂数据的清洗、校验、异常标注；4、建立并完善技术文档、元数据管理文档； 岗位要求：1、统计学、数学、计算机等相关专业本科以上学历；2、3年以上数据挖掘或BI工作经验，有大规模复杂数据分析、挖掘相关工作经验。（能力突出者可放宽要求）3、熟悉Linux开发环境，有Hadoop、Spark等大数据处理经验者优先；4、熟练使用python\R\JAVA语言的一种，熟悉 sql；5、有互联网非结构化复杂数据处理经验者优先。6、有商业化数据报告经验者优先；",20k-40k,C轮
363,数据挖掘,软通动力,10000人以上,上海 徐汇区 龙华,本科,1-3年,数据挖掘工程师,"商汤科技工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",8k-13k,未融资
364,数据挖掘,晶赞科技,100-499人,上海 静安区 共和新路,硕士,3-5年,数据挖掘工程师,工作职责：-通过海量数据分析和挖掘，建立用户画像，寻找出潜在商业价值及数据价值点-根据业务需求，构建算法模型，优化业务指标-理解业务，学习前沿技术驱动产品创新任职要求：1.硕士及以上，计算机，统计学等相关专业2.熟悉基本统计学原理，矩阵理论3.熟悉常用机器学习算法 4.具备较强的逻辑思维能力，对解决挑战性问题充满热情，善于发现和解决问题，对数据、业务较强的敏感度 5.熟悉python、java等至少一种语言，熟悉数据结构和算法设计6.有数据挖掘、分布式计算、机器学习等相关经验者优先,17k-34k,D轮及以上
365,数据挖掘,土巴兔,1000-9999人,上海 浦东新区 八佰伴,硕士,3-5年,数据挖掘工程师,1、参与集团内外人工智能应用解决方案的实施，负责机器学习、NLP算法模型工程化； 2、参与研发机器学习、NLP相关算法，负责完成智能解析、辅助决策、智能预测等各种场景AI解决方案涉及实施； 职位要求：1. 扎实的算法基础：熟悉机器学习基本理论和算法相关原理，具备扎实良好的数学基础2. 能够从复杂的业务场景中进行算法选型、算法优化不断提升效果，并能够真正应用在商业环境3. 精通python、scala、hive sql，具备优秀的开发和调试能力；4. 逻辑清晰，善于思考和总结，能够快速响应，积极主动完成任务；5. 熟悉linux环境，有基于tensorflow/caffe 等研发深度学习算法经验者优先。6. 熟悉Spark、hadoop框架，开源社区活跃者优先； 7. 三年以上工作经验,25k-40k,C轮
366,数据挖掘,卡行天下,1000-9999人,上海  ,本科,3-5年,数据挖掘工程师,"职责描述：1、依托卡行物流的海量数据，与业务专家紧密合作，挖掘业务问题和痛点，提供数据驱动方面的行动建议，开发实现针对业务的优化数据方案；2、通过神经网络、聚类分析、决策树、逻辑回归、文本分析等方法，挖掘用户群体行为和属性特征，构建立体的、多维度的用户画像和评分体系；3、用数据及挖掘模型驱动提升物流各个环节的作业效率（异常运单监控体系、配送优化调度优化算法、时效评估模型、推荐算法等）；4、完成算法模型的数据预处理、构建、调优、部署、维护和评估。任职要求：1、 3年工作经验，1年以上的数据挖掘的项目工作经验，参加过完整的数据挖掘项目，计算机、基础学科类等相关专业本科及以上学历；2、 扎实的计算机脚本编程和算法能力，熟练掌握Python统计及机器学习框架(Pandas, StatsModels, scikitlearn)/ R / Apache Spark中的一种；熟练使用SQL语言；3、扎实的数据分析和数据挖掘基础，熟悉统计的方法（回归，点/区间估计，贝叶斯统计，马尔可夫链，隐马尔可夫模型，蒙特卡罗方法）、机器学习（LDA, PCA, 神经网络, SVM, 随机森林, XGBoost等）；4、 具有良好的逻辑分析、语言表达和文档编写能力，具有持续优化、追求卓越的激情和能力，善于沟通合作。",15k-30k,D轮及以上
367,数据挖掘,智子云,100-499人,上海 杨浦区 平凉路,硕士,1年以内,数据挖掘,岗位职责：1、.维护与改进智子云推荐引擎相关的算法和应用；2、为智子云智能RTB广告的优化提供算法和数据分析支持；3、为客户定制大数据应用解决方案提供算法和数据分析支持；4、跟踪推荐引擎、精准营销领域相关的算法进展和发展趋势。任职要求：1、计算机相关专业硕士以上学历；2、熟悉linux平台，熟练掌握一门以上面向对象编程语言；3、熟悉数据结构，统计学，数据挖掘，机器学习的基本理论和常用算法；4、熟悉SQL，有关系数据库开发经验；5、有机器学习或数据挖掘相关实践经验者优先；6、有Hadoop分布式计算平台开发经验者优先；7、喜欢学习，善于钻研，习惯查阅英文材料；8、具备良好的组织和沟通能力，工作积极主动，责任心强。,10k-20k,已上市
368,数据挖掘,美尼贝思信息,20-99人,上海 浦东新区 ,本科,1-3年,数据挖掘工程师,数据挖掘工程师一、	岗位职责1、	通过数据建模，对借款人的信用风险及欺诈风险进行有效把控，分析客户行为，定制风险预测模型；2、	跨部门合作，协调各相关部门，推动模型的上线、投产、追踪、评估、模型迭代等工作；3、	负责同外部机构合作数据实验室、共同建模工作；4、	领导交办的其他事宜二、	岗位要求：1、	本科或以上学历，金融、数学、计算机、统计类相关专业毕业；2、	2年以上数据挖掘工作经验，有信用卡或消费信贷风控模型建模经验（信用模型、反欺诈模型）；3、	项目中应用2种（含）以上算法：逻辑回归、GBDT、SVM，随机森林、神经网络等算法模型；4、	精通SAS（BASE/STAT/EM）、R、Python等2种以上语言，熟悉MySQL、Hive等数据库；5、	工作积极主动，抗压能力强。,12k-24k,不需要融资
369,数据挖掘,仁辉科技,20-99人,上海 浦东新区 张江,本科,3-5年,数据挖掘工程师,数据挖掘职位描述：1. 参与风险方面基于客户信息、征信信息、行为信息的数据分析研究，协助提升风控系统风险识别准确性；2. 负责日常系统运营数据（日报、周报等）的分析及监测，能够及时发现异常及问题，并预警；3. 深入了解业务逻辑，与风控团队积极沟通，从整体角度建立数据支持方案，为相关团队日常运营及决策提供有效的数据支持；4. 负责平台活动等数据分析报告的规划与输出；5. 积极主动地理解业务、运营团队目标，通过应用分析方法和工具的灵活使用，高效实现相应业务的风险管理等分析需求，提供优化现有风险策略和流程的建议方案；6. 完成领导交办的其他相关数据分析工作。任职要求：1. 计算机、统计学、数学等相关专业本科以上学历；2. 三年及以上互联网、金融等行业的数据、风险等分析相关工作经验；3. 熟悉MySQL/Oracle等主流数据库，精通SQL；4. 具有丰富的数据分析、建模实践经验了解NOSQL数据库；5. 熟悉Python、R、EXCEL、SPSS等分析统计工具，熟悉数据挖掘、机器学习等常用算法更佳；6. 具有良好的逻辑分析能力、沟通能力和文字表达能力，良好的执行力；7. 乐于面对挑战，能够积极创新，优秀的团队合作精神；诚实，勤奋，严谨。福利：13薪+年终奖 五险一金一年至少一次涨薪机会饭贴车贴 25元/天加班可申请调休加班至9点饭贴另加20元/天加班至10点打车全额报销80元/人/月，团建基金入职健康体检每月集体生日会，生日的同学享有神秘个性化小礼物一份带薪年假 每月0.5天年假，一年6天,15k-25k,未融资
370,数据挖掘,红星美凯龙互联网集团,500-999人,上海 普陀区 金沙江路,本科,3-5年,数据挖掘经理,岗位职责：1.了解数据业务需求，提出解决方案，制定开发计划并执行；2.对商场人脸数据和流量访问数据进行深度挖掘，发现用户本质属性和个性化需求，不断挖掘新的用户属性数据并据此产生创新的应用；3.应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，并研发创新方法以解决常规算法不能解决的问题；4.与业务部门沟通合作，将数据模型应用于实际业务；5.参与数据挖掘模型的构建、维护、部署和评估；6.完成领导安排的其他工作。任职资格：1.计算机、统计、数学等相关专业，硕士以上学历优先，3年以上数据挖掘建模经验2.算法基础扎实，熟悉数据挖掘、机器学习常见算法3.精通Python、R、MATLAB、SAS等任意一中或者多种数据编程语言4.精通异常数据检测、修补，数据降维，特征提取，数据采样，缺失值填充，标准化等数据前处理技术；5.有精准推荐系统、精确营销、智慧商场等领域工作经验者尤佳6.对数据挖掘事业极其热爱，工作积极投入,20k-40k,已上市
371,数据挖掘,联想利泰,1000-9999人,上海 徐汇区 龙华,本科,3-5年,数据挖掘工程师,"工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",13k-22k,已上市
372,数据挖掘,哈杜,20-99人,上海 浦东新区 张江,本科,1-3年,数据挖掘,我们是一家一些美元基金投资已经实现盈利的A轮创业公司，活跃在东南亚的一片蓝海上，有大量的数据等待对数据分析感兴趣的伙伴来掘金~目前已有一群活泼可爱的小伙伴，平日的工作可能会比较辛苦，所以更加期待有志于通过自己的努力奋斗实现人生目标的小伙伴~数据分析岗的具体细节如下：1.     分析报表体系搭建，维护日常报表，如通过率日报、逾期率日报等，统计注册、申请、借款、还款等指标，这块工作比较routine，难度不大。工具：Mysql、EXCEL。2.     数据监控，在报表体系的基础上，分析指标变化原因，寻找解决方案，这里可能需要花点心思，动点脑筋。工具：Excel。3.     Ad-hoc分析需求，支持业务部门，如新用户转化率分析、老用户留存分析等。工具：Mysql、EXCEL。希望你是这样的人：1.     对数据比较敏感，喜欢play with data；2.     不仅仅是在找一份工作，而是在找能够实现个人价值的事情；3.     逻辑性强，脑筋转的快（交流起来痛快~）,12k-20k,A轮
