,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
1012,机器学习,医修哥,20-99人,上海  ,硕士,5-10年,深度学习,负责机器人在医疗，金融，新零售等行业的语义算法处理的全面工作。必须具有针对深度学习项目落地经验。,20k-40k,A轮
1013,机器学习,华为,10000人以上,上海 浦东新区 金桥,本科,经验不限,知识工程技术研究工程师,工作职责负责知识图谱的构建，知识检索，知识推理，知识管理等知识工程相关技术的研究并且应用到智能交互系统中。,20k-40k,不需要融资
1014,机器学习,升至信息,20-99人,上海  ,本科,3-5年,深度学习,有相关项目经验，能独立开发。,15k-30k,天使轮
1015,机器学习,悦光保合,0-20人,上海 普陀区 桃浦,本科,3-5年,机器学习,岗位职责1. 组建研发中心的人工智能团队，负责未来方向的探索和落地；2. 带领团队实现多样化的算法和模型并落地，支持业务需求开发；3. 搭建机器学习和人工智能模型的训练，评估，上线的流程和规范4. 指导核心模型和算法的开发工作，负责解决开发过程中的重大技术问题突破5. 对公司的整体战略进行长期思考和规划，借助人工智能推动业务和产品发展和演进任职要求1. 5年以上互联网从业经验，精通机器学习和人工智能算法，具备某一领域的落地经验2. 计算机、应用数学、模式识别、自控，统计、运筹学等专业优先；3. 能够把握行业技术发展趋势和业务发展动向，有较强的创造力和拓展能力,50k-100k,天使轮
1016,机器学习,哈啰出行,1000-9999人,上海 闵行区 莘庄,硕士,3-5年,机器学习,负责公司算法工作团队不是助力车团队，是负责整个公司的各种算法研究。,30k-60k,D轮及以上
1017,机器学习,趣头条,1000-9999人,上海 浦东新区 张江,本科,经验不限,机器学习,要求：1.对机器学习有兴趣和热情，学习能力优秀，2.可以快速阅读学术论文。3.有基本的编程能力，熟练使用python，熟悉tensorflow优先4.熟悉任一领域算法，nlp、图象处理识别、推荐算法等，有过项目实践优先5.本科以上学历，硕士优先，博士再优先职责：1.给公司各个项目(趣头条等)做机器学习业务支持，(文本分类、文本目标定位、视频分类、视频打标签、图象修复等)2.结合业务的学术探索，知识图谱的建立以及结合业务数据提升预测效果、图像生成等3.把有阶段成果的算法模型部署线上，保证性能、稳定性等。,20k-40k,已上市
1018,机器学习,阿里巴巴集团,10000人以上,上海  ,本科,3-5年,机器学习,阿里巴巴新零售搜索和推荐算法团队，诚邀有“企图”的算法工程师参与，一起打造未来十年的电商生态。你的回报，将远超预期！岗位描述	1.负责搜索、推荐、流量中排序建模、关联挖掘、文本分析、用户画像、商品质量等具体技术方向的深入研究和业务场景落地。 2.负责搜索、推荐、流量算法和架构的中长期布局，包括技术资源整合和技术体系规划推动。岗位要求	1.计算机及相关专业本科以上学历，具有超过2年的互联网搜索、推荐、流量或相关领域的工作经验。 2. 熟悉机器学习/自然语言处理/数据挖掘/深度学习中至少一个领域的原理与算法，并且能够熟练建模解决业务问题。 3.精通Linux平台下的C/C++/Java语言开发，熟练使用gcc/gdb等开发工具，并掌握Python/Linux Shell/SQL等脚本开发。 4.熟悉hadoop/hbase/storm等分布式计算技术，熟悉其运行机制和体系结构。 5.具有优秀的分析和解决问题的能力，思路清晰，对工作上的挑战充满激情。 6.具有强烈的工作责任感和团队合作精神，能较好的沟通与学习。,15k-30k,已上市
1019,机器学习,蚂蚁金服,10000人以上,上海 浦东新区 陆家嘴,硕士,3-5年,机器学习,1. 工作内容	你将加入的是一个广阔的施展平台，你将看到的是千变万化的风险形态，你设计的模型与算法每天要保护成百上亿的隐形资损	a.利用大规模机器学习算法，建立一套完善的风险预测模型体系，实时与准实时的在上亿级的消费者行为数据中准确定位微弱的风险信号	b.通过前沿的人工智能算法，打造人工智能驱动的风控引擎，在平衡用户的安全和体验中灵活应对动态多变的欺诈、盗用、作弊等金融风险2. 职位要求	a.计算机、数学、统计、金融等硕士及以上学历（博士优先）	b.三年及以上数据挖掘或机器学习方面相关工作经验（非硬性）	c.熟练掌握机器学习算法（或对最优化理论和方法有较好的实践），熟练运用Python/SQL等工具	d.突出的问题分析能力和问题解决能力，自我驱动，具备较强的学习、创新能力，以及良好的沟通协调能力	e.拥有分布式图计算、实时流计算或深度学习经验者优先,20k-40k,C轮
1020,机器学习,携程旅行网,10000人以上,上海 长宁区 北新泾,本科,3-5年,机器学习工程师,"岗位职责：1、负责应用统计建模、数据挖掘、机器学习方法建立数据模型解决实际安全问题和不断研发创新；2、基于大数据进行特征识别、情感分析等算法实现；3、为其它团队提供机器学习技术支持4、协助数据分析咨询人员进行主题分析；任职资格：1、计算机自然语言处理、数据挖掘、应用数学、统计学等相关专业，211、985本科及以上学历；2、熟悉常用的机器学习模型及使用技巧，有深度学习经验者优先；3、对自然语言、中文语义、语音识别等相关领域熟悉并且精通其中一个方向；4、熟悉C/C++,C#,Python,Java等；5、良好的编程能力，算法设计能力，具备大规模数据处理能力，有图数据处理或者安全经验者优先；6、善于与人沟通，对工作认真负责，能够承担一定的工作压力；7、具有良好的团队合作精神，为人正直，善于学习；",15k-29k,已上市
1021,机器学习,上海拜恒信息科技...,20-99人,上海 浦东新区 张江,大专,1年以内,机器学习,"岗位要求：1.掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验；2.具有较强的编程能力，熟悉C/C++,python等开发工具；3.熟悉神经网络的各种模型，如：深度神经网络，卷积神经网络，递归神经网络等；4.熟悉深度学习的开源框架，如tensorflow，caffe等；5.具有数学、电子、自控、计算机、通信等相关专业的硕士或博士学历及以上6.最好可以全职实习，一周工作五天，实习薪资面谈。",8k-10k,未融资
1022,机器学习,海风教育,1000-9999人,上海 普陀区 江宁路,本科,1-3年,机器学习（NLP）,职位要求：1、计算机或应用统计类本科及以上学历2、具备数学、统计学、概率统计知识，熟悉常见的机器学习算法（贝叶斯，聚类，逻辑回归，SVM，GBDT，RF等）3、具备扎实的Python编程功底，优秀的开发、调试能力和数据建模基础。4、对数据敏感，具备独立分析能力，有良好的逻辑思维和定义以及解决问题的能力5、优秀的沟通协调能力和团队精神，较强的学习研究能力、抗压能力6、有用户画像搭建的项目经验者，或者参与过客服业务的数据挖掘项目的实施经验者优先。欢迎优秀学子加入海风哦！,25k-40k,C轮
